"","mpg","engine","weight","year","cylinder","american"
"1",18,307,3504,70,8,1
"2",15,350,3693,70,8,1
"3",18,318,3436,70,8,1
"4",16,304,3433,70,8,1
"5",17,302,3449,70,8,1
"6",15,429,4341,70,8,1
"7",14,454,4354,70,8,1
"8",14,440,4312,70,8,1
"9",14,455,4425,70,8,1
"10",15,390,3850,70,8,1
"11",NA,133,3090,70,4,0
"12",NA,350,4142,70,8,1
"13",NA,351,4034,70,8,1
"14",NA,383,4166,70,8,1
"15",NA,360,3850,70,8,1
"16",15,383,3563,70,8,1
"17",14,340,3609,70,8,1
"18",NA,302,3353,70,8,1
"19",15,400,3761,70,8,1
"20",14,455,3086,70,8,1
"21",24,113,2372,70,4,0
"22",22,198,2833,70,6,1
"23",18,199,2774,70,6,1
"24",21,200,2587,70,6,1
"25",27,97,2130,70,4,0
"26",26,97,1835,70,4,0
"27",25,110,2672,70,4,0
"28",24,107,2430,70,4,0
"29",25,104,2375,70,4,0
"30",26,121,2234,70,4,0
"31",21,199,2648,70,6,1
"32",10,360,4615,70,8,1
"33",10,307,4376,70,8,1
"34",11,318,4382,70,8,1
"35",9,4,732,NA,NA,NA
"36",27,97,2130,71,4,0
"37",28,140,2264,71,4,1
"38",25,113,2228,71,4,0
"39",25,98,2046,71,4,1
"40",NA,97,1978,71,4,0
"41",19,232,2634,71,6,1
"42",16,225,3439,71,6,1
"43",17,250,3329,71,6,1
"44",19,250,3302,71,6,1
"45",18,232,3288,71,6,1
"46",14,350,4209,71,8,1
"47",14,400,4464,71,8,1
"48",14,351,4154,71,8,1
"49",14,318,4096,71,8,1
"50",12,383,4955,71,8,1
"51",13,400,4746,71,8,1
"52",13,400,5140,71,8,1
"53",18,258,2962,71,6,1
"54",22,140,2408,71,4,1
"55",19,250,3282,71,6,1
"56",18,250,3139,71,6,1
"57",23,122,2220,71,4,1
"58",28,116,2123,71,4,0
"59",30,79,2074,71,4,0
"60",30,88,2065,71,4,0
"61",31,71,1773,71,4,0
"62",35,72,1613,71,4,0
"63",27,97,1834,71,4,0
"64",26,91,1955,71,4,1
"65",24,113,2278,72,4,0
"66",25,97.5,2126,72,4,1
"67",23,97,2254,72,4,0
"68",20,140,2408,72,4,1
"69",21,122,2226,72,4,1
"70",13,350,4274,72,8,1
"71",14,400,4385,72,8,1
"72",15,318,4135,72,8,1
"73",14,351,4129,72,8,1
"74",17,304,3672,72,8,1
"75",11,429,4633,72,8,1
"76",13,350,4502,72,8,1
"77",12,350,4456,72,8,1
"78",13,400,4422,72,8,1
"79",19,70,2330,72,3,0
"80",15,304,3892,72,8,1
"81",13,307,4098,72,8,1
"82",13,302,4294,72,8,1
"83",14,318,4077,72,8,1
"84",18,121,2933,72,4,0
"85",22,121,2511,72,4,0
"86",21,120,2979,72,4,0
"87",26,96,2189,72,4,0
"88",22,122,2395,72,4,1
"89",28,97,2288,72,4,0
"90",23,120,2506,72,4,0
"91",28,98,2164,72,4,1
"92",27,97,2100,72,4,0
"93",13,350,4100,73,8,1
"94",14,304,3672,73,8,1
"95",13,350,3988,73,8,1
"96",14,302,4042,73,8,1
"97",15,318,3777,73,8,1
"98",12,429,4952,73,8,1
"99",13,400,4464,73,8,1
"100",13,351,4363,73,8,1
"101",14,318,4237,73,8,1
"102",13,440,4735,73,8,1
"103",12,455,4951,73,8,1
"104",13,360,3821,73,8,1
